time,open,high,low,close,Volume,Volume MA
2009-09-14,965,965,965,965,,
2009-09-15,893,893,893,893,,
2009-09-16,515,515,515,515,,
2009-09-17,1701,1701,1701,1701,,
2009-09-18,1250,1250,1250,1250,,
2009-09-21,2006,2006,2006,2006,,
2009-09-22,873,873,873,873,,
2009-09-23,1955,1955,1955,1955,,
2009-09-24,2306,2306,2306,2306,,
2009-09-25,1630,1630,1630,1630,,
2009-09-28,606,606,606,606,,
2009-09-29,1554,1554,1554,1554,,
2009-09-30,1759,1759,1759,1759,,
2009-10-01,2519,2519,2519,2519,,
2009-10-02,2016,2016,2016,2016,,
2009-10-05,516,516,516,516,,
2009-10-06,618,618,618,618,,
2009-10-07,1387,1387,1387,1387,,
2009-10-08,819,819,819,819,,
2009-10-09,1187,1187,1187,1187,,
2009-10-12,1347,1347,1347,1347,,
2009-10-13,1711,1711,1711,1711,,
2009-10-14,766,766,766,766,,
2009-10-15,1498,1498,1498,1498,,
2009-10-16,1964,1964,1964,1964,,
2009-10-19,801,801,801,801,,
2009-10-20,1998,1998,1998,1998,,
2009-10-21,2034,2034,2034,2034,,
2009-10-22,987,987,987,987,,
2009-10-23,2287,2287,2287,2287,,
2009-10-26,2318,2318,2318,2318,,
2009-10-27,1978,1978,1978,1978,,
2009-10-28,2776,2776,2776,2776,,
2009-10-29,548,548,548,548,,
2009-10-30,2652,2652,2652,2652,,
2009-11-02,1413,1413,1413,1413,,
2009-11-03,1181,1181,1181,1181,,
2009-11-04,1400,1400,1400,1400,,
2009-11-05,540,540,540,540,,
2009-11-06,1442,1442,1442,1442,,
2009-11-09,494,494,494,494,,
2009-11-10,1748,1748,1748,1748,,
2009-11-11,1124,1124,1124,1124,,
2009-11-12,2396,2396,2396,2396,,
2009-11-13,794,794,794,794,,
2009-11-16,575,575,575,575,,
2009-11-17,1652,1652,1652,1652,,
2009-11-18,1640,1640,1640,1640,,
2009-11-19,2483,2483,2483,2483,,
2009-11-20,1719,1719,1719,1719,,
2009-11-23,672,672,672,672,,
2009-11-24,1628,1628,1628,1628,,
2009-11-25,1020,1020,1020,1020,,
2009-11-27,2528,2528,2528,2528,,
2009-11-30,1277,1277,1277,1277,,
2009-12-01,616,616,616,616,,
2009-12-02,1029,1029,1029,1029,,
2009-12-03,1951,1951,1951,1951,,
2009-12-04,867,867,867,867,,
2009-12-07,1363,1363,1363,1363,,
2009-12-08,2072,2072,2072,2072,,
2009-12-09,1346,1346,1346,1346,,
2009-12-10,1201,1201,1201,1201,,
2009-12-11,1030,1030,1030,1030,,
2009-12-14,780,780,780,780,,
2009-12-15,1812,1812,1812,1812,,
2009-12-16,1063,1063,1063,1063,,
2009-12-17,2209,2209,2209,2209,,
2009-12-18,1241,1241,1241,1241,,
2009-12-21,848,848,848,848,,
2009-12-22,1119,1119,1119,1119,,
2009-12-23,857,857,857,857,,
2009-12-24,756,756,756,756,,
2009-12-28,1481,1481,1481,1481,,
2009-12-29,1532,1532,1532,1532,,
2009-12-30,1622,1622,1622,1622,,
2009-12-31,2020,2020,2020,2020,,
2010-01-04,600,600,600,600,,
2010-01-05,1196,1196,1196,1196,,
2010-01-06,1208,1208,1208,1208,,
2010-01-07,1183,1183,1183,1183,,
2010-01-08,1172,1172,1172,1172,,
2010-01-11,1218,1218,1218,1218,,
2010-01-12,2185,2185,2185,2185,,
2010-01-13,800,800,800,800,,
2010-01-14,1294,1294,1294,1294,,
2010-01-15,2110,2110,2110,2110,,
2010-01-19,685,685,685,685,,
