Date,baseline,0.50,0.60,0.70,baseline_return,challenger_0.60_return,baseline_position,challenger_0.60_position
2020-08-21,228275.88061063463,122154.38616992935,99355.19010076075,23735.91576096606,0.006805755834469629,0.006805755834469629,True,True
2020-08-24,229678.7058663785,122905.0623147795,99965.75819752921,23881.780238670068,0.006145306512415294,0.006145306512415294,True,True
2020-08-25,231568.10464766764,123916.11239918266,100788.10339926045,24078.238183292106,0.008226268840039408,0.008226268840039186,True,True
2020-08-26,236509.50277777907,126560.34031231276,102938.80608965187,24592.0402084731,0.02133885466493668,0.02133885466493668,True,True
2020-08-27,235605.10423943299,126076.3809557258,102545.17410162117,24498.001681655904,-0.003823941650225593,-0.003823941650225371,True,True
2020-08-28,236981.85247310132,126813.10283341355,103144.39239008469,24641.154694628614,0.005843456737122388,0.005843456737122388,True,True
2020-08-31,239250.75094686818,128027.22979068776,104131.91169601143,24877.072667650795,0.009574144391602202,0.009574144391602202,True,True
2020-09-01,242849.37999328843,129952.9186590993,105698.18524209427,25251.254800569557,0.015041244519309327,0.015041244519309327,True,True
2020-09-02,245371.73921950127,131302.67686462624,106796.02124540924,25513.527389123945,0.01038651705136151,0.010386517051361288,True,True
2020-09-03,232546.98074148694,124439.92598849862,101214.15112767727,24180.02081771308,-0.052266648632024126,-0.052266648632024015,True,True
2020-09-04,229598.89437457162,122862.35380013092,99931.02090544437,23873.48151328034,-0.012677379674056466,-0.012677379674056466,True,True
2020-09-08,218657.01542232762,117007.1644416159,95168.6585373674,22735.755020308694,-0.04765649670069072,-0.04765649670069072,True,True
2020-09-09,225128.6606205973,120470.25412323062,97985.38861510828,23408.670725857985,0.02959724473404135,0.02959724473404135,True,True
2020-09-10,220353.20717642095,117914.82609204308,95906.91197756653,22912.123476239776,-0.02121210791647843,-0.02121210791647843,True,True
2020-09-11,219035.13224242246,117209.50131547071,95333.23075778913,22775.071258912478,-0.005981646243719996,-0.005981646243719996,True,True
2020-09-14,222795.75491082694,119221.87578292146,96970.01068879668,23166.09733940444,0.017169038728647168,0.01716903872864739,True,True
2020-09-15,225978.53447642186,120925.03637575073,98355.28918577409,23497.039826418837,0.014285638282779622,0.0142856382827794,True,True
2020-09-16,222199.93446704108,118903.04192108958,96710.68476570786,23104.14447857424,-0.01672105723729722,-0.016721057237297,True,True
2020-09-17,218907.71043000807,117141.31569183627,95277.77146720816,22761.822056248195,-0.014816494185426299,-0.014816494185426188,True,True
2020-09-18,216063.5370449997,115619.34914382786,94039.86851140256,22466.08752794168,-0.012992568326722909,-0.01299256832672302,True,True
