basket_size,horizon_years,qqq_pct,stock_pct,n_windows_rolling,total_return_mean,total_return_median,total_return_std,total_return_p25,total_return_p75,final_value_mean,final_value_median,final_value_std,final_value_p25,final_value_p75,cagr_mean,cagr_median,cagr_std,cagr_p25,cagr_p75,max_drawdown_mean,max_drawdown_median,max_drawdown_std,max_drawdown_p25,max_drawdown_p75,sharpe_ratio_mean,sharpe_ratio_median,sharpe_ratio_std,sharpe_ratio_p25,sharpe_ratio_p75,pct_windows_positive,n_windows_nonoverlap,cagr_nonoverlap_mean,cagr_nonoverlap_std,cagr_nonoverlap_tstat,cagr_nonoverlap_pvalue,sharpe_nonoverlap_mean,sharpe_nonoverlap_std,sharpe_nonoverlap_tstat,sharpe_nonoverlap_pvalue
2,10,15,85,3773,7.646922,6.769312,2.780922,5.660955,9.317853,86469.223777,77693.124865,27809.222054,66609.548686,103178.527885,0.235295,0.22763,0.038652,0.208834,0.262931,-0.419956,-0.502451,0.097099,-0.504855,-0.314295,0.961672,0.938421,0.147767,0.857369,1.100929,1.0,2,0.21126,0.06164,4.846972,0.308581,0.861257,0.330648,3.683681,0.322079
2,10,16,84,3773,7.590741,6.719322,2.759899,5.622364,9.260376,85907.412787,77193.224105,27598.992525,66223.640908,102603.759042,0.234495,0.226787,0.038618,0.208127,0.262165,-0.419806,-0.502121,0.097153,-0.504672,-0.314406,0.9606,0.937314,0.148263,0.855705,1.10043,1.0,2,0.210421,0.061972,4.801809,0.308939,0.859939,0.332228,3.660546,0.322472
2,10,17,83,3773,7.53456,6.663087,2.738935,5.576135,9.195514,85345.601796,76630.86596,27389.350158,65761.347776,101955.135267,0.233691,0.225905,0.038584,0.20731,0.261333,-0.419655,-0.501789,0.097207,-0.504486,-0.314519,0.959508,0.935833,0.148764,0.854157,1.099831,1.0,2,0.209575,0.062309,4.756655,0.309307,0.858598,0.333818,3.637435,0.322873
2,10,18,82,3773,7.478379,6.614705,2.718031,5.533106,9.135689,84783.790806,76147.054124,27180.308538,65331.064794,101356.887706,0.232881,0.225091,0.03855,0.206501,0.260583,-0.419503,-0.501457,0.097263,-0.504299,-0.314632,0.958395,0.934191,0.149269,0.852818,1.099026,1.0,2,0.208724,0.062651,4.711508,0.309685,0.857233,0.335416,3.614346,0.32328
2,10,19,81,3773,7.422198,6.568261,2.697188,5.487733,9.073916,84221.979816,75682.613258,26971.881634,64877.329548,100739.15863,0.232067,0.224316,0.038518,0.205662,0.259813,-0.419348,-0.501125,0.097319,-0.504108,-0.314747,0.957261,0.93253,0.149778,0.85183,1.098381,1.0,2,0.207866,0.062997,4.666369,0.310073,0.855845,0.337024,3.591277,0.323693
2,10,20,80,3773,7.366017,6.51644,2.676408,5.444607,8.994058,83660.168826,75164.396871,26764.083808,64446.065817,99940.578414,0.231247,0.223526,0.038486,0.204865,0.258839,-0.419193,-0.500792,0.097375,-0.503916,-0.314862,0.956105,0.931417,0.150291,0.850283,1.098143,1.0,2,0.207002,0.063348,4.621238,0.310473,0.854433,0.338642,3.568224,0.324114
2,10,21,79,3773,7.309836,6.467841,2.655693,5.400827,8.921438,83098.357836,74678.412383,26556.929825,64008.274671,99214.383856,0.230422,0.222708,0.038456,0.204114,0.257972,-0.419038,-0.500458,0.097427,-0.503721,-0.314978,0.954928,0.929476,0.15081,0.848709,1.097819,1.0,2,0.206133,0.063704,4.576116,0.310883,0.852996,0.340269,3.545185,0.324542
2,10,22,78,3773,7.253655,6.418648,2.635043,5.36328,8.872857,82536.546845,74186.479987,26350.434871,63632.803603,98728.567108,0.229591,0.221915,0.038426,0.20333,0.257276,-0.418882,-0.500124,0.097481,-0.503523,-0.315096,0.953728,0.927572,0.151332,0.847136,1.096949,1.0,2,0.205257,0.064065,4.531003,0.311305,0.851534,0.341907,3.522158,0.324977
2,10,23,77,3773,7.197474,6.364571,2.614461,5.318885,8.825293,81974.735855,73645.709957,26144.614562,63188.852566,98252.925702,0.228756,0.221007,0.038397,0.202509,0.256669,-0.418726,-0.49979,0.097536,-0.503323,-0.315214,0.952505,0.926136,0.151859,0.845518,1.096054,1.0,2,0.204374,0.06443,4.485899,0.311738,0.850046,0.343555,3.499139,0.32542
2,10,24,76,3773,7.141292,6.322027,2.593948,5.276521,8.758807,81412.924865,73220.267688,25939.484956,62765.208335,97588.06875,0.227915,0.220352,0.038369,0.201696,0.25587,-0.418567,-0.499455,0.097591,-0.503121,-0.315333,0.951258,0.925265,0.152391,0.843829,1.095625,1.0,2,0.203485,0.064802,4.440805,0.312184,0.848532,0.345213,3.476126,0.325871
2,10,25,75,3773,7.085111,6.276693,2.573506,5.228817,8.693615,80851.113875,72766.934994,25735.06257,62288.172463,96936.152333,0.227068,0.219565,0.038342,0.200835,0.254981,-0.418408,-0.499119,0.097648,-0.502915,-0.315453,0.949988,0.923322,0.152927,0.842509,1.094749,1.0,2,0.202589,0.065178,4.39572,0.312643,0.846991,0.346883,3.453116,0.32633
2,10,26,74,3773,7.02893,6.218993,2.553136,5.183057,8.625217,80289.302885,72189.928278,25531.364391,61830.571878,96252.173991,0.226216,0.218628,0.038316,0.199903,0.254133,-0.418247,-0.498783,0.097705,-0.502707,-0.315574,0.948694,0.921463,0.153468,0.840876,1.094099,1.0,2,0.201687,0.06556,4.350646,0.313115,0.845423,0.348563,3.430106,0.326797
2,10,27,73,3773,6.972749,6.170995,2.532841,5.136466,8.55854,79727.491895,71709.945362,25328.407892,61364.659263,95585.399664,0.225358,0.217786,0.038291,0.199062,0.253302,-0.418085,-0.498446,0.097764,-0.502497,-0.315697,0.947375,0.920011,0.154014,0.839333,1.093454,1.0,2,0.200778,0.065948,4.305582,0.313601,0.843828,0.350255,3.407094,0.327273
2,10,28,72,3773,6.916568,6.12289,2.512621,5.097034,8.50274,79165.680904,71228.903132,25126.211046,60970.336357,95027.404883,0.224494,0.216964,0.038268,0.198166,0.252559,-0.417922,-0.498109,0.097824,-0.502283,-0.31582,0.94603,0.918376,0.154565,0.837759,1.092652,1.0,2,0.199862,0.066341,4.260529,0.314102,0.842204,0.351959,3.384076,0.327757
2,10,29,71,3773,6.860387,6.074968,2.492479,5.053865,8.444352,78603.869914,70749.682198,24924.792341,60538.651506,94443.520209,0.223624,0.216112,0.038245,0.19733,0.25174,-0.417757,-0.497771,0.097884,-0.502066,-0.315944,0.94466,0.916217,0.155121,0.835877,1.091866,1.0,2,0.198939,0.06674,4.215486,0.314617,0.840551,0.353675,3.361049,0.328251
