Date,frozen_baseline,prior_70_30,boost_5%,boost_10%,boost_15%,primary_breadth_bucket,primary_ma200_bucket,primary_3x_drag
2002-10-23,13581.563550655326,12505.954338980959,12903.359483758008,13310.857299020534,13724.647296509302,10310.857299020534,3000.0,13299.990362476408
2002-10-24,13246.458664196447,12271.409049878821,12610.19732111486,12957.808048091312,13310.534513945875,9957.808048091312,3000.0,12947.005547491544
2002-10-25,13667.090115286164,12565.815754429803,12973.263311351631,13391.024837308802,13815.275911399596,10391.024837308802,3000.0,13379.043584355786
2002-10-28,13446.203690741992,12411.213800244905,12779.614509254454,13157.483357020372,13541.057732627698,10157.483357020372,3000.0,13145.420204051501
2002-10-29,13190.310405875402,12232.109982593787,12557.154694831508,12890.726979031884,13229.135830131592,9890.726979031884,3000.0,12878.688633535656
2002-10-30,13537.221527580266,12474.918645257078,12855.600333585768,13246.019011722698,13642.386599504174,10246.019011722698,3000.0,13232.835779760384
2002-10-31,13584.583750369417,12508.06822524079,12896.734698498902,13295.311414578528,13699.997040086986,10295.311414578528,3000.0,13281.540203985942
2002-11-01,13989.839639278307,12791.713327014448,13250.207108027309,13720.125068118872,14197.552472354579,10720.125068118872,3000.0,13704.929017091425
2002-11-04,14373.267721162636,13060.080796273878,13589.411459928677,14131.698502067014,14682.919894222332,11131.698502067014,3000.0,14115.001102983024
2002-11-05,14419.943534925857,13092.749947562172,13631.144017668808,14182.690195402465,14743.353391143384,11182.690195402465,3000.0,14165.288112810464
2002-11-06,14632.318487548502,13241.39458592391,13821.860109685727,14416.385735048658,15020.876944145894,11416.385735048658,3000.0,14397.788764543173
2002-11-07,14082.230294168447,12856.379029417456,13323.494581983123,13802.226789572744,14288.63506385146,10802.226789572744,3000.0,13784.717484220595
2002-11-08,13844.046362170842,12689.670272108071,13112.281673302008,13545.547461022195,13985.593697230242,10545.547461022195,3000.0,13528.214014930645
2002-11-11,13350.380990722204,12344.145954364818,12678.583658243773,13021.766407475554,13369.95840492441,10021.766407475554,3000.0,13005.415148532109
2002-11-12,13486.250950492586,12438.943436230787,12794.543769174554,13160.370738404867,13531.650246874986,10160.370738404867,3000.0,13143.616800500504
2002-11-13,13486.250950492586,12438.943436230787,12794.543769174554,13160.370738404867,13531.650246874986,10160.370738404867,3000.0,13143.616800500504
2002-11-14,13486.250950492586,12438.943436230787,12794.543769174554,13160.370738404867,13531.650246874986,10160.370738404867,3000.0,13143.616800500504
2002-11-15,13486.250950492586,12438.943436230787,12794.543769174554,13160.370738404867,13531.650246874986,10160.370738404867,3000.0,13143.616800500504
2002-11-18,13486.250950492586,12438.943436230787,12794.543769174554,13160.370738404867,13531.650246874986,10160.370738404867,3000.0,13143.616800500504
2002-11-19,13486.250950492586,12438.943436230787,12794.543769174554,13160.370738404867,13531.650246874986,10160.370738404867,3000.0,13143.616800500504
2002-11-20,13486.250950492586,12438.943436230787,12794.543769174554,13160.370738404867,13531.650246874986,10160.370738404867,3000.0,13143.616800500504
2002-11-21,13486.250950492586,12438.943436230787,12794.543769174554,13160.370738404867,13531.650246874986,10160.370738404867,3000.0,13143.616800500504
2002-11-22,13486.250950492586,12438.943436230787,12794.543769174554,13160.370738404867,13531.650246874986,10160.370738404867,3000.0,13143.616800500504
