Date,rolling_breadth_max_60,breadth,breadth_drawdown_60_points,breadth_below_60,original_price_rise_met,canonical_divergence,drawdown_15,drawdown_20,drawdown_25,price,next_session_open,episode_onset
2015-07-27,69.33,45.38,23.949999999999996,True,False,False,True,True,False,4519.09,4539.47,False
2015-07-28,69.33,48.89,20.439999999999998,True,False,False,True,True,False,4560.23,4570.5,False
2015-08-21,60.95,34.06,26.89,True,False,False,True,True,True,4197.27,3847.12,True
2015-08-24,60.95,19.92,41.03,True,False,False,True,True,True,4038.6,4187.28,False
2015-08-25,60.95,17.13,43.82000000000001,True,False,False,True,True,True,4016.32,4141.24,False
2015-08-26,60.95,25.89,35.06,True,False,False,True,True,True,4219.6,4281.63,False
2015-08-27,60.4,32.27,28.129999999999995,True,False,False,True,True,True,4324.82,4307.05,False
2015-08-28,60.4,32.07,28.33,True,False,False,True,True,True,4329.12,4299.88,False
2015-08-31,60.4,29.28,31.119999999999997,True,False,False,True,True,True,4274.58,4177.94,False
2015-09-01,60.4,21.75,38.65,True,False,False,True,True,True,4142.63,4207.68,False
2015-09-02,60.4,26.14,34.26,True,False,False,True,True,True,4256.23,4267.34,False
2015-09-03,60.4,27.34,33.06,True,False,False,True,True,True,4234.65,4175.62,False
2015-09-04,60.4,24.0,36.4,True,False,False,True,True,True,4184.72,4267.4,False
2015-09-08,60.4,29.6,30.799999999999997,True,False,False,True,True,True,4303.53,4346.36,False
2015-09-09,60.4,26.6,33.8,True,False,False,True,True,True,4253.45,4248.48,False
2015-09-10,60.4,27.6,32.8,True,False,False,True,True,True,4296.3,4273.62,False
2015-09-11,60.4,28.79,31.61,True,False,False,True,True,True,4323.23,4334.86,False
2015-09-14,59.2,27.79,31.410000000000004,True,False,False,True,True,True,4308.76,4322.41,False
2015-09-15,59.2,31.2,28.000000000000004,True,False,False,True,True,True,4360.28,4357.36,False
2015-09-16,59.0,32.79,26.21,True,False,False,True,True,True,4383.67,4378.99,False
2015-09-17,56.79,31.79,25.0,True,False,False,True,True,True,4384.96,4325.29,False
2015-09-18,56.15,28.39,27.759999999999998,True,False,False,True,True,True,4323.86,4343.77,False
2015-09-21,56.15,28.6,27.549999999999997,True,False,False,True,True,True,4336.13,4273.3,False
2015-09-22,56.15,25.79,30.36,True,False,False,True,True,True,4274.1,4280.01,False
2015-09-23,56.15,26.6,29.549999999999997,True,False,False,True,True,True,4273.53,4239.85,False
2015-09-24,56.15,26.39,29.759999999999998,True,False,False,True,True,True,4261.1,4305.39,False
2015-09-25,56.15,27.0,29.15,True,False,False,True,True,True,4224.74,4206.68,False
2015-09-28,56.15,19.39,36.76,True,False,False,True,True,True,4103.47,4110.26,False
2015-09-29,56.15,20.6,35.55,True,False,False,True,True,True,4083.37,4137.18,False
2015-09-30,56.15,24.6,31.549999999999997,True,False,False,True,True,True,4181.06,4185.28,False
2015-10-01,56.15,26.0,30.15,True,False,False,True,True,True,4192.96,4136.96,False
2015-10-02,56.15,29.39,26.759999999999998,True,False,False,True,True,True,4267.45,4296.54,False
2015-10-05,56.15,34.85,21.299999999999997,True,False,False,True,True,False,4331.43,4315.32,False
2015-10-06,56.15,31.88,24.27,True,False,False,True,True,False,4306.7,4331.87,False
2015-10-07,56.15,34.65,21.5,True,False,False,True,True,False,4333.46,4316.18,False
2015-10-14,55.57,35.04,20.53,True,False,False,True,True,False,4346.92,4361.98,True
2016-01-07,53.26,27.97,25.29,True,False,False,True,True,True,4305.72,4336.12,True
2016-01-08,53.26,23.01,30.249999999999996,True,False,False,True,True,True,4270.78,4300.97,False
2016-01-11,53.26,24.2,29.06,True,False,False,True,True,True,4283.55,4322.77,False
2016-01-12,53.26,26.19,27.069999999999997,True,False,False,True,True,True,4333.72,4352.64,False
2016-01-13,53.26,21.62,31.639999999999997,True,False,False,True,True,True,4183.12,4201.23,False
2016-01-14,53.26,23.01,30.249999999999996,True,False,False,True,True,True,4272.97,4123.87,False
2016-01-15,53.26,20.47,32.79,True,False,False,True,True,True,4141.08,4199.56,False
2016-01-19,53.26,21.07,32.19,True,False,False,True,True,True,4147.07,4078.23,False
2016-01-20,53.26,18.48,34.78,True,False,False,True,True,True,4136.28,4146.44,False
2016-01-21,53.26,17.89,35.37,True,False,False,True,True,True,4142.6,4226.44,False
2016-01-22,53.26,23.45,29.81,True,False,False,True,True,True,4259.77,4245.47,False
2016-01-25,53.26,20.07,33.19,True,False,False,True,True,True,4196.53,4211.92,False
2016-01-26,53.26,22.86,30.4,True,False,False,True,True,True,4233.85,4214.94,False
2016-01-27,53.26,22.46,30.799999999999997,True,False,False,True,True,True,4128.86,4197.2,False
2016-01-28,53.26,23.06,30.2,True,False,False,True,True,True,4186.06,4186.35,False
2016-01-29,52.68,29.02,23.66,True,False,False,True,True,False,4279.17,4254.41,False
2016-02-01,52.68,29.64,23.04,True,False,False,True,True,False,4286.56,4262.45,False
2016-02-02,52.68,26.53,26.15,True,False,False,True,True,True,4193.1,4213.67,False
2016-02-03,52.68,27.57,25.11,True,False,False,True,True,True,4171.97,4158.05,False
2016-02-04,52.68,27.77,24.91,True,False,False,True,True,False,4167.77,4150.35,False
2016-02-05,52.68,24.4,28.28,True,False,False,True,True,True,4024.47,3947.99,False
2016-02-08,52.68,21.42,31.259999999999998,True,False,False,True,True,True,3960.67,3903.93,False
2016-02-09,52.68,21.62,31.06,True,False,False,True,True,True,3947.8,3996.76,False
2016-02-10,52.68,21.82,30.86,True,False,False,True,True,True,3966.28,3910.57,False
2016-02-11,52.68,19.04,33.64,True,False,False,True,True,True,3962.22,3996.64,False
2016-02-12,52.68,23.8,28.88,True,False,False,True,True,True,4019.19,4077.33,False
2016-02-16,52.68,26.58,26.1,True,False,False,True,True,True,4104.33,4138.43,False
2016-02-17,52.68,30.15,22.53,True,False,False,True,True,False,4199.1,4212.22,False
2016-02-18,52.68,29.36,23.32,True,False,False,True,True,False,4151.49,4129.75,False
2016-02-19,52.68,29.96,22.72,True,False,False,True,True,False,4164.09,4203.6,False
2016-02-23,52.68,32.4,20.28,True,False,False,True,True,False,4162.54,4116.02,True
2016-06-27,75.19,51.08,24.11,True,False,False,True,True,False,4201.06,4245.32,True
2016-10-17,79.96,59.36,20.599999999999994,True,False,False,True,True,False,4796.17,4849.91,True
2016-10-25,79.96,59.56,20.39999999999999,True,False,False,True,True,False,4891.45,4863.52,True
2016-10-26,79.96,59.36,20.599999999999994,True,False,False,True,True,False,4860.59,4883.07,False
2016-10-27,79.96,56.41,23.549999999999997,True,False,False,True,True,False,4836.45,4820.5,False
2016-10-28,79.96,57.39,22.569999999999993,True,False,False,True,True,False,4805.59,4821.31,False
2016-10-31,79.96,58.77,21.18999999999999,True,False,False,True,True,False,4801.27,4810.3,False
2016-11-01,79.96,53.64,26.319999999999993,True,False,False,True,True,True,4766.94,4764.83,False
2016-11-02,79.96,51.47,28.489999999999995,True,False,False,True,True,True,4726.91,4718.53,False
2016-11-03,79.96,50.88,29.07999999999999,True,False,False,True,True,True,4679.1,4647.59,False
2016-11-04,79.96,49.9,30.059999999999995,True,False,False,True,True,True,4660.46,4737.98,False
2016-11-07,79.96,56.8,23.159999999999997,True,False,False,True,True,False,4773.73,4766.48,False
2016-11-08,79.96,58.38,21.57999999999999,True,False,False,True,True,False,4804.92,4748.9,False
2016-11-11,79.96,58.77,21.18999999999999,True,False,False,True,True,False,4751.95,4752.61,True
2018-02-08,82.17,51.88,30.29,True,False,False,True,True,True,6306.1,6395.16,True
2018-02-09,82.17,57.02,25.15,True,False,False,True,True,True,6412.68,6477.04,False
2018-03-22,82.17,54.67,27.5,True,True,True,True,True,True,6682.26,6683.19,True
2018-03-23,82.17,48.11,34.06,True,False,False,True,True,True,6508.09,6644.4,False
2018-03-26,82.17,56.06,26.11,True,True,True,True,True,True,6753.83,6791.39,False
2018-03-27,82.17,52.08,30.090000000000003,True,False,False,True,True,True,6529.84,6488.02,False
2018-03-28,82.17,52.28,29.89,True,False,False,True,True,True,6460.81,6493.51,False
2018-03-29,82.17,56.26,25.910000000000004,True,False,False,True,True,True,6581.13,6528.23,False
2018-04-02,82.17,46.71,35.46,True,False,False,True,True,True,6390.84,6448.05,False
2018-04-03,82.17,51.48,30.690000000000005,True,False,False,True,True,True,6458.83,6326.54,False
2018-04-04,82.17,57.02,25.15,True,False,False,True,True,True,6560.06,6619.22,False
2018-04-05,82.17,57.14,25.03,True,False,False,True,True,True,6594.84,6514.48,False
2018-04-06,82.17,49.2,32.97,True,False,False,True,True,True,6433.21,6488.48,False
2018-04-09,82.17,50.59,31.58,True,False,False,True,True,True,6472.34,6585.52,False
2018-04-10,82.17,54.76,27.410000000000004,True,False,False,True,True,True,6615.87,6578.84,False
2018-04-11,82.17,52.57,29.6,True,False,False,True,True,True,6583.44,6627.32,False
2018-04-12,82.17,55.75,26.42,True,False,False,True,True,True,6656.26,6696.02,False
2018-04-13,82.17,53.96,28.21,True,False,False,True,True,True,6628.34,6675.92,False
2018-04-16,82.17,57.34,24.83,True,False,False,True,True,False,6675.18,6738.65,False
2018-04-17,82.17,59.72,22.450000000000003,True,False,False,True,True,False,6816.37,6824.58,False
2018-04-19,82.17,57.14,25.03,True,False,False,True,True,True,6774.89,6754.68,True
2018-04-20,82.17,54.96,27.21,True,False,False,True,True,True,6667.75,6699.16,False
2018-04-23,82.17,56.74,25.43,True,False,False,True,True,True,6648.8,6680.88,False
2018-04-24,80.79,51.98,28.81000000000001,True,False,False,True,True,True,6509.05,6514.32,False
2018-04-25,79.4,52.77,26.630000000000003,True,False,False,True,True,True,6513.94,6606.61,False
2018-04-26,79.4,55.75,23.650000000000006,True,False,False,True,True,False,6649.65,6748.59,False
2018-04-27,77.82,54.36,23.459999999999994,True,False,False,True,True,False,6656.35,6669.44,False
2018-04-30,74.65,50.39,24.260000000000005,True,False,False,True,True,False,6605.57,6592.93,False
2018-05-02,70.09,48.21,21.880000000000003,True,False,False,True,True,False,6644.48,6608.7,True
2018-05-03,70.09,47.72,22.370000000000005,True,False,False,True,True,False,6643.48,6618.7,False
2018-10-10,70.03,49.9,20.130000000000003,True,False,False,True,True,False,7044.5,7013.48,True
2018-10-11,70.03,37.22,32.81,True,False,False,True,True,True,6964.03,7150.21,False
2018-10-12,70.03,41.86,28.17,True,False,False,True,True,True,7157.21,7129.31,False
2018-10-15,70.03,42.46,27.57,True,False,False,True,True,True,7068.67,7141.67,False
2018-10-17,70.03,48.21,21.82,True,False,False,True,True,False,7278.63,7250.93,True
2018-10-18,70.03,43.65,26.380000000000003,True,False,False,True,True,True,7116.09,7169.45,False
2018-10-19,70.03,43.84,26.189999999999998,True,False,False,True,True,True,7107.23,7146.03,False
2018-10-22,70.03,41.46,28.57,True,False,False,True,True,True,7141.21,7002.69,False
2018-10-23,70.03,40.07,29.96,True,False,False,True,True,True,7118.67,7101.85,False
2018-10-24,70.03,32.34,37.69,True,False,False,True,True,True,6789.15,6891.27,False
2018-10-25,70.03,36.11,33.92,True,False,False,True,True,True,7016.39,6804.69,False
2018-10-26,70.03,32.14,37.89,True,False,False,True,True,True,6852.4,6954.69,False
2018-10-29,70.03,32.53,37.5,True,False,False,True,True,True,6713.9,6673.84,False
2018-10-30,70.03,39.48,30.550000000000004,True,False,False,True,True,True,6810.12,6933.11,False
2018-10-31,70.03,39.48,30.550000000000004,True,False,False,True,True,True,6967.1,6980.79,False
2018-11-01,70.03,43.65,26.380000000000003,True,False,False,True,True,True,7069.17,7042.3,False
2018-11-02,70.03,42.46,27.57,True,False,False,True,True,True,6965.29,6946.15,False
2018-11-05,70.03,44.84,25.189999999999998,True,False,False,True,True,True,6937.09,6939.13,False
2018-11-06,70.03,45.83,24.200000000000003,True,False,False,True,True,False,6988.85,7068.5,False
2018-11-07,70.03,49.7,20.33,True,False,False,True,True,False,7203.13,7176.19,False
2018-11-08,70.03,49.9,20.130000000000003,True,False,False,True,True,False,7158.59,7095.45,False
2018-11-09,70.03,47.51,22.520000000000003,True,False,False,True,True,False,7039.15,6990.37,False
2018-11-12,70.03,42.94,27.090000000000003,True,False,False,True,True,True,6829.1,6858.59,False
2018-11-13,70.03,43.14,26.89,True,False,False,True,True,True,6830.91,6896.19,False
2018-11-14,70.03,40.35,29.68,True,False,False,True,True,True,6769.87,6750.63,False
