variant,record_type,component,entry_date,exit_date,signal_date,component_return_pct,allocation_at_entry,portfolio_contribution_pct,sell_reason,cluster,return_pct,max_drawdown_pct,accumulated,buy_trigger,component_events
15%,component_exit,tqqq_ma200,2018-10-16,2018-10-25,2018-10-24,-11.460423298670609,0.1865485281996194,-2.137925098911629,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2018-11-02,2018-11-06,2018-11-05,-4.812890742887477,0.16876769332403,-0.8122604688976967,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2018-11-08,2018-11-12,2018-11-09,-7.6564578800265455,0.15942878146200565,-1.2206597501278031,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2019-02-19,2019-02-22,2019-02-21,0.8966980393182,0.151692823753207,0.136022657638142,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2019-02-26,2019-03-08,2019-03-07,-6.423015877975347,0.1517473221195151,-0.9746754594138851,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2019-03-12,2019-06-03,2019-05-31,-5.411718655669251,0.14256429363471132,-0.7715178474952763,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2019-06-05,2020-03-10,2020-03-09,29.90840810277353,0.13585285509822514,4.063142632204675,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2020-04-09,2022-01-21,2022-01-20,333.08294832846263,0.13070844050294952,43.53675273413787,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2022-02-03,2022-02-07,2022-02-04,-0.5231695914854728,0.2468804725126608,-0.12916035595018924,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2022-02-10,2022-02-14,2022-02-11,-10.898879840950503,0.24590648264144319,-2.68010520641987,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2022-03-30,2022-04-01,2022-03-31,-5.366277219634242,0.22513940345083286,-1.2081604519802471,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2022-04-05,2022-04-07,2022-04-06,-12.569406332146615,0.21566335833585668,-2.710760381878721,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2023-01-27,2023-01-31,2023-01-30,-1.9794343676772241,0.18936931606082738,-0.37484413239433223,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2023-02-02,2023-03-13,2023-03-10,-21.229468510246928,0.18199416846949543,-3.8636394685717277,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2023-03-15,2025-03-07,2025-03-06,204.65765468470693,0.15081430736124393,30.865302437450715,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2025-05-13,2026-03-23,2026-03-20,35.90695839374263,0.21185541391552185,7.607083532953766,NDX-below-MA200/TQQQ,,,,,,
15%,21_session_cluster,,2002-07-24,2002-08-15,,,,,climax-top,1.0,9.576470930934688,,,breadth,1.0
15%,21_session_cluster,,2002-10-10,2002-11-12,,,,,climax-top,2.0,18.340276094920767,,,breadth,1.0
15%,21_session_cluster,,2003-01-10,2003-01-21,,,,,NDX-below-MA200/TQQQ,3.0,-1.2776466219905074,,,tqqq_ma200,1.0
15%,21_session_cluster,,2003-01-10,2003-03-18,,,,,climax-top,4.0,1.1985476661089598,,,breadth,1.0
15%,21_session_cluster,,2003-03-14,2004-03-24,,,,,NDX-below-MA200/TQQQ,5.0,10.039163406789674,,,tqqq_ma200,1.0
15%,21_session_cluster,,2004-03-25,2004-07-09,,,,,NDX-below-MA200/TQQQ+bearish-divergence,6.0,1.626222933082617,,,breadth+tqqq_ma200,5.0
15%,21_session_cluster,,2004-10-04,2004-10-25,,,,,NDX-below-MA200/TQQQ,7.0,-1.770485846176475,,,tqqq_ma200,2.0
15%,21_session_cluster,,2004-10-27,2005-04-12,,,,,NDX-below-MA200/TQQQ,8.0,-0.8588440245882845,,,tqqq_ma200,3.0
15%,21_session_cluster,,2005-05-18,2005-06-27,,,,,NDX-below-MA200/TQQQ,9.0,-0.017208585599618062,,,tqqq_ma200,1.0
