Date,ndx_buy_hold,baseline,ma_150,ma_200,ma_250
2023-03-31,81851.91164873105,364697.6064766809,343183.0226474403,343183.0226474403,366724.7953400086
2023-04-03,81646.9923434696,363784.57245408604,342323.8511856882,342323.8511856882,365806.686174694
2023-04-04,81347.25128695533,362449.05268830864,341067.11765663454,341067.11765663454,364463.7428592473
2023-04-05,80522.10955110252,358772.56902399345,337607.5205706462,337607.5205706462,360766.8232869137
2023-04-06,81114.51263358565,361412.06738022214,340091.30716007494,340091.30716007494,363420.9934193688
2023-04-10,81043.9086184092,361097.4856578917,339795.28353825305,339795.28353825305,363104.6630796831
2023-04-11,80503.23213631481,358688.459223124,337528.3726541696,337528.3726541696,360682.24595774524
2023-04-12,79784.08956836542,355484.2631577693,334513.2015333968,334513.2015333968,357460.23921728804
2023-04-13,81405.06336974273,362706.63895347103,341309.50815084396,341309.50815084396,364722.76092982554
2023-04-14,81219.58035010152,361880.20482453436,340531.8278004641,340531.8278004641,363891.73302776646
2023-04-17,81270.43759586186,362106.8032683238,340745.0585359717,340745.0585359717,364119.5910297036
2023-04-18,81295.7730736033,362219.6874747538,340851.2833712429,340851.2833712429,364233.10270832444
2023-04-19,81276.64727177887,362134.4709659782,340771.09403481265,340771.09403481265,364147.41251956165
2023-04-20,80638.72726482405,359292.1683859429,338096.4672388797,338096.4672388797,361289.3108664473
2023-04-21,80730.56837163668,359701.3736342513,338481.53226673766,338481.53226673766,361700.7907014474
2023-04-24,80538.00632145008,358843.39832998865,337674.17144767905,337674.17144767905,360838.04630095017
2023-04-25,79018.80910835262,352074.4960988424,331304.58665623545,331304.58665623545,354031.5188071857
2023-04-26,79524.15253447922,354326.09333395655,333423.3555519137,333423.3555519137,356295.63165183127
2023-04-27,81719.52135818031,364107.7311626893,342627.9458121508,342627.9458121508,366131.6411762357
2023-04-28,82253.30510000682,366486.0464530605,344865.9572925207,344865.9572925207,368523.176444431
2023-05-01,82163.14060569178,366084.31148311874,344487.92184934975,344487.92184934975,368119.2084116925
2023-05-02,81431.57868590837,365917.58197416906,344330.9692112924,344330.9692112924,367951.55768744304
2023-05-03,80913.38123063356,365917.58197416906,344330.9692112924,344330.9692112924,367951.55768744304
2023-05-04,80616.9933991145,365917.58197416906,344330.9692112924,344330.9692112924,367951.55768744304
2023-05-05,82334.90024155637,365917.58197416906,344330.9692112924,344330.9692112924,367951.55768744304
2023-05-08,82536.77680561852,365917.58197416906,344330.9692112924,344330.9692112924,367951.55768744304
2023-05-09,81974.61484485124,365917.58197416906,344330.9692112924,344330.9692112924,367951.55768744304
2023-05-10,82885.69849539553,365917.58197416906,344330.9692112924,344330.9692112924,367951.55768744304
2023-05-11,83146.19440011425,365917.58197416906,344330.9692112924,344330.9692112924,367951.55768744304
2023-05-12,82838.1323778712,365917.58197416906,344330.9692112924,344330.9692112924,367951.55768744304
2023-05-15,83293.55000962499,365917.58197416906,344330.9692112924,344330.9692112924,367951.55768744304
2023-05-16,83371.17095858767,365917.58197416906,344330.9692112924,344330.9692112924,367951.55768744304
2023-05-17,84384.90055204018,365917.58197416906,344330.9692112924,344330.9692112924,367951.55768744304
2023-05-18,85908.5066350387,365917.58197416906,344330.9692112924,344330.9692112924,367951.55768744304
2023-05-19,85715.19942374207,365917.58197416906,344330.9692112924,344330.9692112924,367951.55768744304
2023-05-22,86002.39693490397,365917.58197416906,344330.9692112924,344330.9692112924,367951.55768744304
2023-05-23,84902.0423624091,365917.58197416906,344330.9692112924,344330.9692112924,367951.55768744304
2023-05-24,84479.41181949714,365917.58197416906,344330.9692112924,344330.9692112924,367951.55768744304
2023-05-25,86553.75405957563,365917.58197416906,344330.9692112924,344330.9692112924,367951.55768744304
2023-05-26,88788.49222859058,365917.58197416906,351555.168628158,351555.168628158,375671.3963961043
2023-05-30,89139.83569197523,365917.58197416906,352946.3017290399,352946.3017290399,377157.9594201112
2023-05-31,88513.27939194853,365917.58197416906,350465.47228614514,350465.47228614514,374506.9483009472
2023-06-01,89677.09685231527,365917.58197416906,350833.27745605016,350833.27745605016,374900.05302629364
2023-06-02,90329.92008147095,365917.58197416906,350833.27745605016,350833.27745605016,374900.05302629364
2023-06-05,90391.1474860127,365917.58197416906,350833.27745605016,350833.27745605016,374900.05302629364
2023-06-06,90401.02087072075,365917.58197416906,350833.27745605016,350833.27745605016,374900.05302629364
2023-06-07,88818.79544706561,365917.58197416906,350833.27745605016,350833.27745605016,374900.05302629364
2023-06-08,89944.29920702438,365917.58197416906,350833.27745605016,350833.27745605016,374900.05302629364
2023-06-09,90216.40720570793,365917.58197416906,350833.27745605016,350833.27745605016,374900.05302629364
2023-06-12,91805.71165990847,365917.58197416906,350833.27745605016,350833.27745605016,374900.05302629364
2023-06-13,92529.44938803643,365917.58197416906,350833.27745605016,350833.27745605016,374900.05302629364
2023-06-14,93180.47181117618,365917.58197416906,350833.27745605016,350833.27745605016,374900.05302629364
2023-06-15,94296.90944429609,365917.58197416906,350833.27745605016,350833.27745605016,374900.05302629364
2023-06-16,93666.25475816417,365917.58197416906,350833.27745605016,350833.27745605016,374900.05302629364
2023-06-20,93580.74752078688,365917.58197416906,350833.27745605016,350833.27745605016,374900.05302629364
2023-06-21,92322.04621240817,365917.58197416906,350833.27745605016,350833.27745605016,374900.05302629364
2023-06-22,93407.9322400164,365917.58197416906,350833.27745605016,350833.27745605016,374900.05302629364
2023-06-23,92471.26472469402,365917.58197416906,350833.27745605016,350833.27745605016,374900.05302629364
2023-06-26,91214.05373853538,365917.58197416906,350833.27745605016,350833.27745605016,374900.05302629364
2023-06-27,92809.25738485708,365917.58197416906,350833.27745605016,350833.27745605016,374900.05302629364
2023-06-28,92925.19203422773,365917.58197416906,350833.27745605016,350833.27745605016,374900.05302629364
2023-06-29,92772.24771639168,365917.58197416906,350833.27745605016,350833.27745605016,374900.05302629364
2023-06-30,94257.97477629643,365917.58197416906,350833.27745605016,350833.27745605016,374900.05302629364
2023-07-03,94441.03602233,365917.58197416906,350900.3838566404,350900.3838566404,374971.83146410284
2023-07-05,94410.54651357746,365917.58197416906,350787.0985648278,350787.0985648278,374850.7749041697
2023-07-06,93700.59426598526,365917.58197416906,348149.2355479388,348149.2355479388,372031.95688031026
2023-07-07,93373.96531275033,365917.58197416906,346935.62936681084,346935.62936681084,370735.0984174833
2023-07-10,93428.54836406087,365917.58197416906,347138.43541875214,347138.43541875214,370951.81678037776
