Date,frozen_baseline,fixed_60,fixed_80,10_sessions,20_sessions,40_sessions,primary_3x_drag
2012-02-01,48136.435114260144,47368.358269306525,49375.76688633502,47450.33695508576,47450.33695508576,47450.33695508576,47002.96846403883
2012-02-02,48284.432336576894,47513.99401139923,49527.57447930677,47596.22474363257,47596.22474363257,47596.22474363257,47147.48080187206
2012-02-03,48929.429381288064,48148.699323996654,50189.17776684642,48232.02851750849,48232.02851750849,48232.02851750849,47777.290127801476
2012-02-06,48912.59832463243,48132.13682783711,50171.91337392023,48215.43735724238,48215.43735724238,48215.43735724238,47760.85539134202
2012-02-07,48985.339443052166,48203.71727100945,50246.52730196908,48287.14168207061,48287.14168207061,48287.14168207061,47831.88367764959
2012-02-08,49249.60637858768,48463.76749806646,50517.598115040215,48547.64196854766,48547.64196854766,48547.64196854766,48089.927930564874
2012-02-09,49601.89780582796,48810.43767630279,50878.9597187024,48894.91211618654,48894.91211618654,48894.91211618654,48433.923966113005
2012-02-10,49280.560046000355,48494.22726111854,50549.34872272059,48578.15444719798,48578.15444719798,48578.15444719798,48120.15273324896
2012-02-13,49709.46180008693,48916.28535290873,50989.29308039167,49000.94297949638,49000.94297949638,49000.94297949638,48538.95515544017
2012-02-14,49820.701542351155,49025.75012637709,51103.39682674299,49110.59719964594,49110.59719964594,49110.59719964594,48647.57554008606
2012-02-15,49448.67715213533,48659.66184919508,50721.79421068458,48743.87534686749,48743.87534686749,48743.87534686749,48284.31119282684
2012-02-16,50150.55156071725,49350.33697640067,51441.73923983691,49435.74580026335,49435.74580026335,49435.74580026335,48969.65859368824
2012-02-17,49994.81592154732,49197.08629354496,51281.993994945056,49282.229892053954,49282.229892053954,49282.229892053954,48817.59005518398
2012-02-21,50110.89217434478,49311.31040499021,51401.05877374644,49396.651686992634,49396.651686992634,49396.651686992634,48930.933065249264
2012-02-22,49908.53257363456,49112.17970403734,51193.48917603605,49197.17635781622,49197.17635781622,49197.17635781622,48733.338417702136
2012-02-23,50201.625111948124,49400.59558543658,51494.12774250951,49486.091390036374,49486.091390036374,49486.091390036374,49019.529518116964
2012-02-24,50381.15638294152,49577.26221113857,51678.281267055645,49663.063766208186,49663.063766208186,49663.063766208186,49194.8333736846
2012-02-27,50430.488790380434,49625.80745850281,51728.883798046234,49711.693029057125,49711.693029057125,49711.693029057125,49243.004152962356
2012-02-28,50947.02811532908,50134.10475443416,52258.722063712354,50220.87001653423,50220.87001653423,50220.87001653423,49747.38054775285
2012-02-29,50746.60311883216,49936.87778867203,52053.136878981975,50023.301717273454,50023.301717273454,50023.301717273454,49551.67495037346
2012-03-01,51142.0362200288,50326.00126166217,52458.75089209867,50413.09863203121,50413.09863203121,50413.09863203121,49937.79680466252
2012-03-02,51104.11797744831,50288.68805192339,52419.856397690215,50375.72084568458,50375.72084568458,50375.72084568458,49900.77142137453
2012-03-05,50588.35249418496,49781.15225006834,51890.811897216096,49867.30667017372,49867.30667017372,49867.30667017372,49397.15064665113
2012-03-06,50085.93577999333,49286.752221029485,51375.45984630413,49372.05100108082,49372.05100108082,49372.05100108082,48906.56431808523
2012-03-07,50451.5759763053,49646.55817208202,51750.51389952847,49732.47965513764,49732.47965513764,49732.47965513764,49263.594799790866
2012-03-08,51018.9953920635,50204.92370353021,52332.5422265692,50291.811529396204,50291.811529396204,50291.811529396204,49817.65321399332
2012-03-09,51206.07161948872,50389.01489647614,52524.434961737425,50476.22132223905,50476.22132223905,50476.22132223905,50000.3243652152
2012-03-12,51206.07161948872,50389.01489647614,52524.434961737425,50476.22132223905,50476.22132223905,50476.22132223905,50000.3243652152
2012-03-13,52184.59443057124,51351.92415595958,53528.15104703303,51440.79705357208,51440.79705357208,51440.79705357208,50955.80594006552
2012-03-14,52397.01397319058,51560.954279904385,53746.039592239555,51650.18893830985,51650.18893830985,51650.18893830985,51163.22364848499
2012-03-15,52520.441721998526,51682.412585074504,53872.64514036502,51771.857446927985,51771.857446927985,51771.857446927985,51283.74504918774
2012-03-16,52481.55617731138,51644.14750774035,53832.75843946657,51733.52614562353,51733.52614562353,51733.52614562353,51245.77514081588
2012-03-19,52877.76312019335,52034.0324748068,54239.166217775266,52124.08587234754,52124.08587234754,52124.08587234754,51632.65261517204
2012-03-20,52962.30532431416,52117.225702642754,54325.885065002265,52207.42307966121,52207.42307966121,52207.42307966121,51715.20410750292
2012-03-21,52947.795792714474,52102.947688712105,54311.0019676521,52193.12035529388,52193.12035529388,52193.12035529388,51701.03623124476
2012-03-22,52843.71408603943,52000.52673544952,54204.24054932686,52090.5221458322,52090.5221458322,52090.5221458322,51599.40533221955
2012-03-23,52786.643261747355,51944.36654732228,54145.70036641618,52034.26476332069,52034.26476332069,52034.26476332069,51543.67835227079
2012-03-26,53743.69196606233,52886.144346188354,55127.38946763353,52977.67246259006,52977.67246259006,52977.67246259006,52478.19147025904
2012-03-27,53823.01073880726,52964.19748900927,55208.75039981447,53055.860689131485,53055.860689131485,53055.860689131485,52555.64252713698
2012-03-28,53607.30236902532,52751.93101524018,54987.488352541906,52843.22685353711,52843.22685353711,52843.22685353711,52345.01343343233
2012-03-29,53434.73567319979,52582.11783622492,54810.478714723875,52673.11978506162,52673.11978506162,52673.11978506162,52176.51015846862
2012-03-30,53303.56950753866,52453.044590291785,54675.93551467831,52543.82315678092,52543.82315678092,52543.82315678092,52048.43255709485
2012-04-02,53867.50663571295,53007.983398396624,55254.391898355,53099.72237719133,53099.72237719133,53099.72237719133,52599.090680995345
2012-04-03,53835.77912661497,52976.76214126826,55221.84752548263,53068.44708657475,53068.44708657475,53068.44708657475,52568.11025824417
2012-04-04,53104.8856548337,52257.53098620133,54472.13630162995,52347.97118444422,52347.97118444422,52347.97118444422,51854.42710486644
2012-04-05,53443.44139215959,52590.68464458331,54819.40857313397,52681.701419682024,52681.701419682024,52681.701419682024,52185.010884223506
2012-04-09,53007.76852332649,52161.963479625476,54372.5187700328,52252.23828267886,52252.23828267886,52252.23828267886,51759.59678644516
2012-04-10,52139.90507324423,51307.94787305316,53482.3111071945,51396.74466252069,51396.74466252069,51396.74466252069,50912.168881190395
2012-04-11,52391.59708139336,51555.62382137028,53740.48323589549,51644.849254546054,51644.849254546054,51644.849254546054,51157.93430801528
2012-04-12,53013.18541512371,52167.293938159586,54378.07512637687,52257.57796644266,52257.57796644266,52257.57796644266,51764.88612691487
2012-04-13,52214.77425629857,51381.62242493534,53559.10788952139,51470.546720256134,51470.546720256134,51470.546720256134,50985.2751226825
2012-04-16,51655.86709907886,50831.633328326476,52985.81097959277,50919.60577762641,50919.60577762641,50919.60577762641,50439.52852921817
2012-04-17,52690.49343234679,51849.75090834179,54047.075041309035,51939.48537651314,51939.48537651314,51939.48537651314,51449.79255893338
2012-04-18,52546.55887887795,51708.11301014968,53899.43471559533,51797.60235078918,51797.60235078918,51797.60235078918,51309.247226452426
2012-04-19,51979.332923541086,51149.93785222057,53317.60482985261,51238.461179522186,51238.461179522186,51238.461179522186,50755.377717266754
2012-04-20,51770.78258934833,50944.71519865727,53103.68511060612,51032.8833546157,51032.8833546157,51032.8833546157,50551.73810918279
2012-04-23,51334.72279967258,50515.61328666129,52656.398424908955,50603.03881162941,50603.03881162941,50603.03881162941,50125.9462013709
2012-04-24,51048.98175736951,50234.43159898691,52363.30062775956,50321.3704930887,50321.3704930887,50321.3704930887,49846.933491593525
