"Date","Price","Open","High","Low","Vol.","Change %"
"03/16/1993","363.61","364.31","366.54","363.11","","-0.19%"
"03/15/1993","364.31","362.65","365.06","362.25","","0.46%"
"03/12/1993","362.65","361.74","363.09","356.44","","0.25%"
"03/11/1993","361.74","361.26","364.66","361.00","","0.13%"
"03/10/1993","361.26","359.40","361.68","358.25","","0.52%"
"03/09/1993","359.40","359.44","361.41","358.58","","-0.01%"
"03/08/1993","359.44","355.56","360.33","355.12","","1.09%"
"03/05/1993","355.56","355.53","358.09","352.70","","0.01%"
"03/04/1993","355.53","359.96","359.96","352.85","","-1.23%"
"03/03/1993","359.96","356.21","360.43","355.79","","1.05%"
"03/02/1993","356.21","349.10","356.79","348.08","","2.04%"
"03/01/1993","349.10","351.14","352.97","348.28","","-0.58%"
"02/26/1993","351.14","351.67","353.17","349.25","","-0.15%"
"02/25/1993","351.67","350.12","351.88","345.69","","0.44%"
"02/24/1993","350.12","341.24","350.75","338.64","","2.60%"
"02/23/1993","341.24","340.35","342.68","337.14","","0.26%"
"02/22/1993","340.35","347.92","348.26","340.08","","-2.18%"
"02/19/1993","347.92","348.28","351.18","345.50","","-0.10%"
"02/18/1993","348.28","345.91","353.41","342.81","","0.69%"
"02/17/1993","345.91","346.89","348.45","341.49","","-0.28%"
"02/16/1993","346.89","361.19","361.19","343.90","","-3.96%"
"02/12/1993","361.19","366.32","366.60","361.02","","-1.40%"
"02/11/1993","366.32","367.30","369.74","365.76","","-0.27%"
"02/10/1993","367.30","362.95","368.65","362.95","","1.20%"
"02/09/1993","362.95","365.73","368.94","362.43","","-0.76%"
"02/08/1993","365.73","369.00","370.37","364.60","","-0.89%"
"02/05/1993","369.00","374.25","374.25","363.99","","-1.40%"
"02/04/1993","374.25","376.54","378.44","371.98","","-0.61%"
"02/03/1993","376.54","377.44","379.26","375.71","","-0.24%"
"02/02/1993","377.44","375.48","377.59","374.25","","0.52%"
"02/01/1993","375.48","370.56","376.06","370.37","","1.33%"
"01/29/1993","370.56","370.67","372.72","368.95","","-0.03%"
"01/28/1993","370.67","372.61","372.61","368.08","","-0.52%"
